Datetime,hour,date,month,dayofweek,curtailment_MW,curtailment_MWh,grid_price,profile_util_pct,profile_util_frac,normal_demand_MW,effective_price,daily_rank,shift_scheduled,shiftable_dispatch_MW,total_demand_MW,total_demand_MWh,from_curtailment_MW,from_curtailment_MWh,from_grid_MW,from_grid_MWh,cost_curtailed_gbp,cost_grid_gbp,total_cost_gbp,counterfactual_cost_gbp,savings_gbp,curtailment_absorbed_MWh,curtailment_remaining_MWh
2024-04-01 00:00:00,0,2024-04-01,2024-04,0,0.0,0.0,44.92,20.0028091925414,0.200028091925414,289.85050648564646,44.92,13.0,1.0,100.0,389.85050648564646,194.92525324282323,0.0,0.0,389.85050648564646,194.92525324282323,0.0,8756.04237566762,8756.04237566762,8756.04237566762,0.0,0.0,0.0
2024-04-01 00:30:00,0,2024-04-01,2024-04,0,0.0,0.0,44.59,20.0028091925414,0.200028091925414,289.85050648564646,44.59,12.0,1.0,100.0,389.85050648564646,194.92525324282323,0.0,0.0,389.85050648564646,194.92525324282323,0.0,8691.717042097489,8691.717042097489,8691.717042097489,0.0,0.0,0.0
2024-04-01 01:00:00,1,2024-04-01,2024-04,0,0.0,0.0,42.8,19.968792943010676,0.19968792943010677,286.89374332684287,42.8,10.0,1.0,100.0,386.89374332684287,193.44687166342143,0.0,0.0,386.89374332684287,193.44687166342143,0.0,8279.526107194437,8279.526107194437,8279.526107194437,0.0,0.0,0.0
2024-04-01 01:30:00,1,2024-04-01,2024-04,0,0.0,0.0,41.39,19.968792943010676,0.19968792943010677,286.89374332684287,41.39,9.0,1.0,100.0,386.89374332684287,193.44687166342143,0.0,0.0,386.89374332684287,193.44687166342143,0.0,8006.766018149013,8006.766018149013,8006.766018149013,0.0,0.0,0.0
2024-04-01 02:00:00,2,2024-04-01,2024-04,0,0.0,0.0,40.41,19.932403160798128,0.1993240316079813,283.73066777068044,40.41,8.0,1.0,100.0,383.73066777068044,191.86533388534022,0.0,0.0,383.73066777068044,191.86533388534022,0.0,7753.278142306598,7753.278142306598,7753.278142306598,0.0,0.0,0.0
2024-04-01 02:30:00,2,2024-04-01,2024-04,0,0.0,0.0,42.97,19.932403160798128,0.1993240316079813,283.73066777068044,42.97,11.0,1.0,100.0,383.73066777068044,191.86533388534022,0.0,0.0,383.73066777068044,191.86533388534022,0.0,8244.453397053068,8244.453397053068,8244.453397053068,0.0,0.0,0.0
2024-04-01 03:00:00,3,2024-04-01,2024-04,0,0.0,0.0,51.94,19.86572834787549,0.1986572834787549,277.9351543560774,51.94,15.0,1.0,100.0,377.9351543560774,188.9675771780387,0.0,0.0,377.9351543560774,188.9675771780387,0.0,9814.97595862733,9814.97595862733,9814.97595862733,0.0,0.0,0.0
2024-04-01 03:30:00,3,2024-04-01,2024-04,0,0.0,0.0,53.17,19.86572834787549,0.1986572834787549,277.9351543560774,53.17,16.0,1.0,100.0,377.9351543560774,188.9675771780387,0.0,0.0,377.9351543560774,188.9675771780387,0.0,10047.406078556318,10047.406078556318,10047.406078556318,0.0,0.0,0.0
2024-04-01 04:00:00,4,2024-04-01,2024-04,0,0.0,0.0,68.81,19.83196069804184,0.1983196069804184,275.0,68.81,23.0,1.0,100.0,375.0,187.5,0.0,0.0,375.0,187.5,0.0,12901.875,12901.875,12901.875,0.0,0.0,0.0
2024-04-01 04:30:00,4,2024-04-01,2024-04,0,0.0,0.0,78.42,19.83196069804184,0.1983196069804184,275.0,78.42,28.0,1.0,100.0,375.0,187.5,0.0,0.0,375.0,187.5,0.0,14703.75,14703.75,14703.75,0.0,0.0,0.0
