month,demand_GWh,from_curt_GWh,from_grid_GWh,curt_pct,cost_m,counterfactual_m,savings_m
2024-04,284.36710202611914,173.2779248624465,111.08917716367267,60.93458899705314,11.586726669133604,19.003783573677755,7.417056904544156
2024-05,293.84600542698973,67.784254773225,226.0617506537648,23.06795175749529,18.84538573723084,22.347251649376155,3.5018659121453135
2024-06,284.36710202611914,150.25055321061052,134.1165488155086,52.8368268129729,13.560617546486663,21.488089403768452,7.927471857281791
2024-07,293.84600542698973,94.0680664514347,199.7779389755551,32.0127089407745,17.06382073271595,21.97697801826648,4.913157285550533
2024-08,293.84600542698973,232.4446426657228,61.40136276126701,79.10423772069176,9.157175012604354,20.629815195594144,11.472640182989792
2024-09,284.36710202611914,121.95212634517569,162.41497568094346,42.885455271114445,15.647120669972773,22.21697299712058,6.569852327147804
2024-10,293.84600542698973,211.73881413643412,82.10719129055569,72.05774801285962,11.357137424811572,24.02380700390723,12.666669579095656
2024-11,284.36710202611914,175.1864160855891,109.18068594053007,61.60572542934246,13.507964617104422,25.074448746227983,11.56648412912356
2024-12,293.84600542698973,202.5674872521856,91.2785181748042,68.93661425066279,13.310245428229837,24.62057769250108,11.310332264271244
2025-01,293.84600542698973,146.8881077541301,146.9578976728597,49.988124746050545,17.86486570105966,28.622133149205737,10.757267448146072
2025-02,265.4092952243779,179.74149663552183,85.66779858885606,67.72238194731189,11.810334950819259,24.52411754115388,12.713782590334624
2025-03,293.8460054269898,170.9463606614398,122.89964476555,58.175492436263134,13.913239482754987,24.747172130639747,10.83393264788476
2025-04,284.36710202611914,85.22024478336634,199.1468572427528,29.968390920106806,17.65002412314814,22.40082553853368,4.7508014153855385
2025-05,293.8460054269898,108.90757446051367,184.9384309664761,37.06280584017445,16.74528903353768,21.86987754211005,5.124588508572366
2025-06,284.36710202611914,169.69872552163164,114.6683765044875,59.67593449190365,12.490038697985536,20.909306127320963,8.419267429335429
2025-07,293.84600542698973,82.62215546551592,211.2238499614739,28.11750166399473,18.78703406565688,23.298102113515647,4.511068047858764
2025-08,293.84600542698973,117.35420333150427,176.4918020954855,39.93731449946921,16.448233388677004,22.176902246362484,5.728668857685486
2025-09,284.36710202611914,163.18869976578682,121.17840226033229,57.38663108463156,12.91075777203408,20.799048206179464,7.88829043414538
2025-10,293.84600542698973,172.49962105066587,121.34638437632393,58.70408917079046,13.348121222992257,21.920663749359555,8.572542526367304
2025-11,284.36710202611914,159.9929942640334,124.37410776208576,56.26283530129938,13.352921819380386,22.3375297156727,8.984607896292317
2025-12,293.84600542698973,148.06878696598486,145.77721846100494,50.389926775021166,14.421973008532058,22.798809210300437,8.376836201768384
2026-01,293.8460054269898,185.4298989960543,108.41610643093547,63.1044477622232,13.249535898828636,25.350958304480418,12.101422405651782
2026-02,265.4092952243779,132.8618071596811,132.54748806469678,50.05921403293705,12.999684090503845,21.360139831343034,8.360455740839186
2026-03,293.84600542698973,0.0,293.84600542698973,0.0,23.507680434159187,23.507680434159187,0.0
