scenario,fleet_mw,flex_frac,deliverability,backlog_frac,ramp_frac_per_SP,greedy_absorbed_GWh,greedy_absorbed_pct,opt_absorbed_GWh,opt_absorbed_pct,opt_gain_GWh
1GW | flex=0.6 | deliver=1.0 | backlog=1.0 | ramp=0.50,1000,0.6,1.0,1.0,0.5,2262.4850512345824,0.3119713497632372,2262.485051234583,0.3119713497632373,4.547473508864641e-13
1GW | flex=0.6 | deliver=0.6 | backlog=1.0 | ramp=0.50,1000,0.6,0.6,1.0,0.5,2145.870406928403,0.2958914963443134,2145.870406928404,0.2958914963443135,9.094947017729282e-13
1GW | flex=0.6 | deliver=0.6 | backlog=0.5 | ramp=0.50,1000,0.6,0.6,0.5,0.5,2145.870406928403,0.2958914963443134,1370.288247428511,0.1889474027161869,-775.582159499892
1GW | flex=0.6 | deliver=0.6 | backlog=0.5 | ramp=0.10,1000,0.6,0.6,0.5,0.1,2145.870406928403,0.2958914963443134,1369.9781159855331,0.18890463906353114,-775.89229094287
