scenario,fleet_mw,flex_frac,deliverability,backlog_frac,ramp_frac,greedy_GWh,greedy_pct,opt_GWh,opt_pct
Ideal (no constraints),1000,0.6,1.0,1.0,1.0,4546.648849865061,0.08111575038455443,4546.648849865061,0.08111575038455443
+ Deliverability (60%),1000,0.6,0.6,1.0,1.0,4386.938536625777,0.07826639422569003,4386.938536625777,0.07826639422569003
+ Backlog limit (50%),1000,0.6,0.6,0.5,1.0,4386.938536625777,0.07826639422569003,2767.0341881129752,0.0493660412141047
+ Ramp limit (50% fleet/SP),1000,0.6,0.6,0.5,0.5,4386.938536625777,0.07826639422569003,2767.0341881129752,0.0493660412141047
+ Tight ramp (10% fleet/SP),1000,0.6,0.6,0.5,0.1,4386.938536625777,0.07826639422569003,2764.805496848191,0.04932627962919061
