Month,curtailment_GWh,curtailment_value_mGBP,absorbed_GWh,absorbed_value_mGBP,mean_price_gbp_mwh,n_periods
2024-04,683.890786,40.970165560000005,65.82236400000001,4.12309760418,62.55563758389262,894
2024-05,192.772438,13.73261264252,26.539402000000003,1.8967898139,71.51438829787234,376
2024-06,511.818502,35.814910382,59.152556,4.3089154544,73.15360535931791,821
2024-07,256.338134,17.79998757356,39.12079,2.83527426394,72.6262521294719,587
2024-08,915.975372,61.590321281959994,89.04642999999999,6.1696360726199995,69.38428452579035,1202
2024-09,411.30441400000007,29.45120172652,49.269130000000004,3.65264840178,74.59255072463768,690
2024-10,786.261318,61.65058857244,82.472896,6.589855117,80.00769026548673,1130
2024-11,664.6863880000001,56.09734543726,68.65159599999998,5.90637794862,86.2283280085197,939
2024-12,901.3493000000001,67.52506898799999,77.11575599999999,5.85056868396,76.21739503816794,1048
2025-01,516.616144,47.500389909579994,58.13696,5.41931212504,93.49673291925465,805
2025-02,698.82227,62.01378874834,69.379372,6.29682228452,90.81359110169491,944
2025-03,712.38554,57.902235002939996,65.305392,5.4310635144,83.31152198421647,887
2025-04,361.198468,26.8275708316,33.476504,2.5340232553599997,75.88407725321889,466
2025-05,551.656444,33.53758412932,41.262512,2.74367870124,66.51835978835979,567
2025-06,1024.367072,68.85765819308001,64.628844,4.47966463472,69.55286516853933,890
2025-07,416.815876,29.707141082319996,32.280568,2.4079578711200003,75.05162337662337,462
2025-08,745.6883200000001,47.960606020520004,44.14648,3.0278760635200004,68.98283606557376,610
2025-09,945.1187679999999,61.64093920612,62.297763999999994,4.24176982196,68.12223150357995,838
2025-10,1283.889216,87.87206712456,66.12120399999999,4.611147835400001,69.81739130434782,897
2025-11,1133.15814,84.92295977748,60.525211999999996,4.6035123966,76.08125150421179,831
2025-12,1093.011564,82.48239868451999,55.980104,4.281422534879999,76.44757536041939,763
2026-01,1632.260628,137.30424142448,70.780932,6.02662269936,85.24263378803776,953
2026-02,998.9827640000001,82.0811910536,50.085832,4.15234266312,82.97793462109955,673
